1,【麤】く斫られたる石にも神の定めたる運あり,◆１,あら,"関連熟語：麤笨（ソホン）
★麤い／粗い（あら-い）
1.きめがあらい。
2.粗末なさま。粗雑なさま。おおまかなさま。〈漢字ペディア〉
●H06-2㈠
"
2,【糱】を栽培して商う,◆１,もやし,"関連熟語：--
★糱（もやし）
米、麦、大豆などを水に浸し、光に当てないで発芽させたもの。食用。大麦のもやしはビール･飴（あめ）などの原料。〈漢字ペディア〉
●H09-3㈠／●H13-3㈠／●H19-1㈠／●H27-3㈠
"
3,【一纏】めにしておいたので安心しなさい,◆１,ひとまと,"関連熟語：纏綿（テンメン）
★一纏め（ひとまと-め）
一つにまとめること。〈漢字ペディア〉
●H06-2㈠
"
4,【鵜篝】が川面に映える,◆１,うかがり,"関連熟語：篝火（コウカ）
●H11-2㈠
"
5,【襖】に衣を重ねても逃がすべきに非ず,◆１,あお,"関連熟語：位襖（イオウ）
★襖（あお）
1.両わきの開いた上着で、昔の武官の礼服。2.「狩襖(ｶﾘｱｵ)」の略で、「狩衣(ｶﾘｷﾞﾇ)」に同じ。昔、貴族が常用した略服で、のちに武家の礼服となった。襖子(ｱｵｼ)。〈漢字ペディア〉
●R02-2㈠
"
6,【乙丑】には五十六歳になっていた,◆１,きのとうし,"関連熟語：乙丑（イッチュウ／オッチュウ）
★十干十二支。
"
7,【解】れを整えてやおら振り向いた,◆１,ほつ,"関連熟語：--
★解れる（ほつ-れる）
結び目･縫い目などがほどける。〈漢字ペディア〉
●H24-3㈠
"
8,【乾涸】びた喉を潤す,◆１,ひから,"関連熟語：乾涸（カンコ）
★乾涸びる／乾枯びる／干涸びる／干枯びる（ひから-びる）
1.水分がすっかりなくなる。
2.うるおいや生気が失われる。〈漢字ペディア〉
"
9,【砧】打って我に聞かせよや坊が妻,◆１,きぬた,"関連熟語：砧杵（チンショ）
★砧／碪（きぬた）
木づちで布を打つときに用いた木や石の台。また、それを打つこと。〈漢字ペディア〉
●H08-1㈠
"
10,【逆捩】を食わせる,◆１,さかねじ,"関連熟語：--
▼逆捩を食わせる…反対になじる。逆に問いつめる。逆手(ｷﾞｬｸﾃ)を取る。〈日本国語大辞典〉
"
11,【襟刳】りの汚れは目立つ,◆１,えりぐ,"関連熟語：--
★襟刳り（えりぐ-り）
洋服などで、首回りに従ってくりあけた襟回りの線。ネックライン。〈日本国語大辞典〉
"
12,【己巳】の日は弁才天の縁日である,◆１,つちのとみ,"関連熟語：己巳（キシ）
★十干十二支。
"
13,【庚戌】の歳、旅舎に休う,◆１,かのえいぬ,"関連熟語：庚戌（コウジュツ）
★十干十二支。
"
14,【首縊】りの足を引く,◆１,くびくく,"関連熟語：縊死（イシ）
▼首縊りの足(ｱｼ)を引(ﾋ)く…窮地に陥っている人に、さらに追い討ちをかけること。首をつろうとする人を助けるどころか、逆に足を引っ張って死なせてしまう意から。〈漢字ペディア〉
"
15,【醜】の益荒男なお恋いにけり,◆１,しこ,"関連熟語：--
★醜（しこ）
1.みにくいものをののしっていう語。
2.自分を卑下するときに用いる語。〈漢字ペディア〉
●H26-2㈠
"
16,【縦】に心を自然の中に遊ばせる,◆１,ほしいまま,"関連熟語：放縦（ホウショウ）
★縦（ほしいまま）
気の向くまま。かって気ままにすること。〈漢字ペディア〉
●H06-2㈠
"
17,【縦】んば雨でも心配はない,◆１,よし,"関連熟語：--
★縦んば（よし-んば）
たとえそうだとしても。かりに。〈漢字ペディア〉
"
18,【熟】み柿が熟柿を弔う,◆１,う,"関連熟語：未熟（ミジュク）
★熟み柿（う-み-がき）
熟した柿の実。
▼熟み柿が熟柿(ｼﾞｭｸｼ)を弔(ﾄﾑﾗ)う…似た境遇のものが相手の身の不幸を慰めることのたとえ。〈日本国語大辞典〉
"
19,【出涸】らしのお茶を飲む,◆１,でが,"関連熟語：--
★出涸らし（でが-らし）
茶などを何回も入れたり煎じたりして、味や香りが薄くなってしまうこと。また、そのもの。〈漢字ペディア〉
"
